COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Sabine's Gull,,,,,"55.99138363818026, -82.2441172711181|49.35947798649629, -74.23783065002435|44.68625761903563, -72.85561324279779|44.187776876621385, -78.37280989807122|43.33673215129864, -80.56509734313958|43.0864163128494, -79.17584181945794|42.948286223117435, -79.00731326263421|42.82596279137309, -80.04728079956048|42.79056119750254, -81.08900786560052|42.02575305919438, -82.9142832867431|42.19653099166755, -83.74250651519769|43.20936416538255, -81.59343482177728|44.37437136162827, -81.38220549743646|45.22821797206454, -82.26300002258294|46.32444662291857, -86.41960860412591|48.70827005192334, -95.47474623840326|53.8248986836188, -97.5865244976806|57.29863300099407, -89.87137557189935"
Black-headed Gull,,,,,
Little Gull,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|46.90930599818056, -71.85350322289541|47.0442323641476, -80.74418925805166|46.96931530395245, -89.65684794945791|47.163881139787385, -96.30357646508293|48.93212677120807, -98.4362242083668"
Ross's Gull,,,,,
Laughing Gull,,,,,
Franklin's Gull,,,,,"57.63699494878111, -87.37543747327776|53.044981136881056, -98.62543747327774|49.740957051823784, -95.12766525648087|49.663684703449256, -94.28652450941055|48.684218782714495, -92.9647319068715|40.150080061963145, -89.92426559827776|42.23315806588472, -61.75532028577775"
Black-tailed Gull,,,,,
Heermann's Gull,,,,,
Mew Gull,,,,,
Common Gull,,,,,
Short-billed Gull,,,,,
Laughing x Ring-billed Gull (hybrid),,,,,
Laughing x Ring-billed Gull,,,,,
California Gull,,,,,
Lesser Black-backed Gull,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Slaty-backed Gull,,,,,
Glaucous-winged Gull,,,,,
Sooty Tern,,,,,
Least Tern,,,,,
White-winged Tern,,,,,
Arctic Tern,,,,,"50.33646042760662, -75.76210017981717|50.75533897677039, -83.45252986731717|55.941303061043925, -91.71424861731717|48.303048418433455, -100.30555721106717|46.15484692044365, -87.62733455481717|40.360914497782595, -83.82606502356717|40.719921517933514, -69.82948299231717"
Forster's Tern,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Forster's Tern,12,,3,,
Caspian Tern,12,,3,,
Black Tern,12,,3,,
Common Tern,12,,3,,
Royal Tern,,,,,
Sandwich Tern,,,,,
Elegant Tern,,,,,
Black Skimmer,,,,,
Pacific Loon,,,,,
Yellow-billed Loon,,,,,
Yellow-nosed Albatross,,,,,
Wilson's Storm-Petrel,,,,,
Leach's Storm-Petrel,,,,,
Band-rumped Storm-Petrel,,,,,
storm-petrel sp.,,,,,
Northern Storm-Petrels,,,,,
Southern Storm-Petrels,,,,,
Northern Fulmar,,,,,
Black-capped Petrel,,,,,
Great Shearwater,,,,,
Manx Shearwater,,,,,
Audubon's Shearwater,,,,,
Sooty/Short-tailed Shearwater,,,,,
shearwater sp.,,,,,
Southern Shearwaters,,,,,
